CODE,sector,Code_Sector,Azimut,Longitude,Latitude,Hauteur,TILT_E 2G,TILT_E 3G
251,1,251_1,10,-3.00245825,16.75649844,42,0,3
251,2,251_2,160,-3.00245825,16.75649844,42,0,1
251,3,251_3,300,-3.00245825,16.75649844,42,0,3
253,1,253_1,20,-3.65936418,16.4157527,75,2,0
253,2,253_2,140,-3.65936418,16.4157527,75,2,0
253,3,253_3,260,-3.65936418,16.4157527,75,2,0
254,1,254_1,0,-3.39289725,16.26086079,22.6,0,0
254,2,254_2,120,-3.39289725,16.26086079,22.6,0,0
254,3,254_3,240,-3.39289725,16.26086079,22.6,0,0
257,1,257_1,0,-4.891037,15.713703,75,2,0
257,2,257_2,120,-4.891037,15.713703,75,2,0
257,3,257_3,240,-4.891037,15.713703,75,2,0
258,1,258_1,30,-3.01072482,16.764643,18.4,6,4
258,2,258_2,110,-3.01072482,16.764643,18.6,6,5
258,3,258_3,320,-3.01072482,16.764643,18.4,6,2
259,1,259_1,60,-3.0096088,16.77580715,17.1,6,5
259,2,259_2,140,-3.0096088,16.77580715,17.1,6,5
259,3,259_3,300,-3.0096088,16.77580715,17.1,6,4
260,1,260_1,0,-3.001635,16.768727,18.799999,2,5
260,2,260_2,120,-3.001635,16.768727,18.799999,2,1
260,3,260_3,240,-3.001635,16.768727,18.799999,2,5
261,1,261_1,150,-2.99539,16.776049,20.9,6,1
261,2,261_2,240,-2.99539,16.776049,20.9,6,3
261,3,261_3,320,-2.99539,16.776049,20.9,6,3
262,1,262_1,0,-1.9354,16.8705,45,0,0
262,2,262_2,120,-1.9354,16.8705,45,0,0
262,3,262_3,240,-1.9354,16.8705,45,0,0
264,1,264_1,90,-3.591952,16.043817,72.400002,2,0
264,2,264_2,240,-3.591952,16.043817,72.400002,2,0
264,3,264_3,320,-3.591952,16.043817,72.400002,2,0
266,1,266_1,0,-4.321902,15.842379,75,2,0
266,2,266_2,190,-4.321902,15.842379,75,2,0
266,3,266_3,240,-4.321902,15.842379,75,2,0
267,1,267_1,0,-4.63862957,15.72371319,41.400002,0,0
267,2,267_2,120,-4.63862957,15.72371319,41.400002,0,0
267,3,267_3,240,-4.63862957,15.72371319,41.400002,0,0
271,1,271_1,0,-3.71492055,15.65782949,42.400002,0,0
271,2,271_2,120,-3.71492055,15.65782949,42.400002,0,0
271,3,271_3,240,-3.71492055,15.65782949,42.400002,0,0
276,1,276_1,60,-2.779694,15.856247,47,2,0
276,2,276_2,190,-2.779694,15.856247,47,2,0
276,3,276_3,310,-2.779694,15.856247,47,2,0
277,1,277_1,0,-3.23916763,16.09389173,57,2,0
277,2,277_2,120,-3.23916763,16.09389173,57,2,0
277,3,277_3,240,-3.23916763,16.09389173,57,2,0
279,1,279_1,100,-3.99472222,15.93583333,65,2,0
279,2,279_2,180,-3.99472222,15.93583333,65,2,0
279,3,279_3,280,-3.99472222,15.93583333,65,2,0
280,1,280_1,45,-3.753833,16.149167,65,2,0
280,2,280_2,190,-3.753833,16.149167,65,2,0
280,3,280_3,260,-3.753833,16.149167,65,2,0
281,1,281_1,20,-3.70666667,15.82222222,40,2,0
281,2,281_2,95,-3.70666667,15.82222222,40,2,0
281,3,281_3,270,-3.70666667,15.82222222,40,2,0
282,1,282_1,60,-3.244948,16.652003,58,2,0
282,2,282_2,170,-3.244948,16.652003,58,2,0
282,3,282_3,250,-3.244948,16.652003,58,2,0
283,1,283_1,55,-3.368312,16.57084,60,2,0
283,2,283_2,255,-3.368312,16.57084,60,2,0
283,3,283_3,315,-3.368312,16.57084,60,2,0
284,1,284_1,0,-3.65638889,16.42805556,50,2,0
284,2,284_2,120,-3.65638889,16.42805556,50,2,0
284,3,284_3,290,-3.65638889,16.42805556,50,2,0
286,1,286_1,70,-1.66133333,17.00480556,48,2,0
286,2,286_2,160,-1.66133333,17.00480556,48,2,0
286,3,286_3,260,-1.66133333,17.00480556,48,2,0
287,1,287_1,80,-2.17569444,16.81269444,48,2,0
287,2,287_2,250,-2.17569444,16.81269444,48,2,0
287,3,287_3,350,-2.17569444,16.81269444,48,2,0
288,1,288_1,90,-2.51747222,16.83277778,50,2,0
288,2,288_2,200,-2.51747222,16.83277778,50,2,0
288,3,288_3,290,-2.51747222,16.83277778,50,2,0
289,1,289_1,80,-2.69113889,16.74305556,50,2,0
289,2,289_2,160,-2.69113889,16.74305556,50,2,0
289,3,289_3,260,-2.69113889,16.74305556,50,2,0
291,1,291_1,20,-3.00730556,16.77150001,33.400002,2,2
291,2,291_2,140,-3.00730556,16.77150001,33.400002,2,6
291,3,291_3,260,-3.00730556,16.77150001,33.400002,2,4
292,1,292_1,80,-3.00286112,16.77502223,33.400002,2,2
292,2,292_2,140,-3.00286112,16.77502223,33.400002,2,2
292,3,292_3,260,-3.00286112,16.77502223,33.400002,2,2
293,1,293_1,105,-3.01138889,16.78266667,42.400002,2,2
293,2,293_2,225,-3.01138889,16.78266667,42.400002,2,2
293,3,293_3,325,-3.01138889,16.78266667,33.400002,2,2
295,1,295_1,0,-2.98466667,16.67991667,62.400002,0,2
295,2,295_2,120,-2.98466667,16.67991667,62.400002,0,2
295,3,295_3,240,-2.98466667,16.67991667,62.400002,0,2
298,1,298_1,20,-3.02530556,16.66447223,42.400002,2,0
298,2,298_2,120,-3.02530556,16.66447223,42.400002,2,0
298,3,298_3,260,-3.02530556,16.66447223,42.400002,2,0
301,1,301_1,50,-0.05293256,16.26834961,64.599998,0,2
301,2,301_2,170,-0.05293256,16.26834961,64.599998,0,2
301,3,301_3,290,-0.05293256,16.26834961,64.599998,0,2
302,1,302_1,0,-0.03211684,16.28924273,21,6,0
302,2,302_2,120,-0.03211684,16.28924273,21,6,2
302,3,302_3,240,-0.03211684,16.28924273,21,2,0
303,1,303_1,0,-0.050349,16.2485,21,0,4
303,2,303_2,120,-0.050349,16.2485,21,0,0
303,3,303_3,240,-0.050349,16.2485,21,0,0
305,1,305_1,0,-0.04055715,16.2551105,22.4,0,2
305,2,305_2,120,-0.04055715,16.2551105,22.4,0,0
305,3,305_3,240,-0.04055715,16.2551105,22.4,0,0
306,1,306_1,0,-0.032994,16.266104,22.4,0,5
306,2,306_2,120,-0.032994,16.266104,22.4,0,0
306,3,306_3,240,-0.032994,16.266104,22.4,0,0
307,1,307_1,0,-0.04638762,16.28027725,11.45,0,0
307,2,307_2,120,-0.04638762,16.28027725,11.45,0,0
307,3,307_3,240,-0.04638762,16.28027725,11.45,0,0
308,1,308_1,0,-0.045092,16.264819,22.4,6,5
308,2,308_2,120,-0.045092,16.264819,22.4,6,6
308,3,308_3,240,-0.045092,16.264819,22.4,6,5
309,1,309_1,0,-0.03777824,16.27833275,13.5,2,0
309,2,309_2,120,-0.03777824,16.27833275,13.5,2,4
309,3,309_3,240,-0.03777824,16.27833275,13.5,2,4
310,1,310_1,120,0.50305594,15.65999631,42.400002,0,0
310,2,310_2,250,0.50305594,15.65999631,42.400002,0,0
310,3,310_3,350,0.50305594,15.65999631,42.400002,0,0
311,1,311_1,10,-0.341602,16.955872,42.400002,0,0
